"Combined_Key","KeyOk","Address","Alt_Name","Beds","City","Country","County","COUNTYFIPS","Helipad","Id","Latitude","Longitude","NAICS_CODE","NAICS_DESC","Name","Objectid","Owner","Population","Source","Sourcedate","ST_FIPS","State","State Name","State_Id","Status","Telephone","Trauma","Ttl_Staff","Type","Val_Date","Val_Method","Website","Zip","Zip4"
"Sonoma, California, US",,"501 Petaluma Avenue","PALM DRIVE HOSPITAL","47","Sebastopol","USA","Sonoma","06097","N","0033895472","38.397174337","-122.819026236","622110","General Medical And Surgical Hospitals","California","2690","Non-Profit","37","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://sonomawestmedicalcenter.com/","95472",
"Solano, California, US",,"525 Oregon Street",,"61","Vallejo","USA","Solano","06095","N","0045394590","38.1179037480001","-122.248893686","622210","Psychiatric And Substance Abuse Hospitals","California","2691","Non-Profit","61","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"PSYCHIATRIC","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.sthelenahospital.org/Behavioral/","94590",
"Yolo, California, US",,"2000 Sutter Place",,"48","Davis","USA","Yolo","06113","N","0047695616","38.5625039120001","-121.770740018","622110","General Medical And Surgical Hospitals","California","2692","Non-Profit","48","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://www.sutterhealth.org","95616",
"Alameda, California, US",,"350 Hawthorne Avenue",,"403","Oakland","USA","Alameda","06001","N","0001194609","37.8212158590001","-122.263060594","622110","General Medical And Surgical Hospitals","California","2696","Non-Profit","403","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://www.altabatessummit.com","94609",
"Alameda, California, US",,"39400 Paseo Padre Parkway",,"106","Fremont","USA","Alameda","06001","N","0018694538","37.5527903660001","-121.975084202","622110","General Medical And Surgical Hospitals","California","2697","Non-Profit","106","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.kaiserpermanente.org","94538",
"Alameda, California, US",,"1111 E. Stanley Boulevard",,"75","Livermore","USA","Alameda","06001","N","0051494550","37.6773201350001","-121.781791647","622110","General Medical And Surgical Hospitals","California","2698","Non-Profit","75","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.valleycare.com","94550",
"San Joaquin, California, US",,"975 South Fairmont Avenue",,"190","Lodi","USA","San Joaquin","06077","Y","0025495240","38.121323342","-121.286818425","622110","General Medical And Surgical Hospitals","California","2700","Non-Profit","190","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.lodihealth.org","95240",
"Los Angeles, California, US",,"309 West Beverly Boulevard",,"224","Montebello","USA","Los Angeles","06037","N","0003990640","34.0145595060001","-118.100446881","622110","General Medical And Surgical Hospitals","California","2701","Non-Profit","224","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.beverly.org","90640",
"Los Angeles, California, US",,"1720 Termino Avenue",,"208","Long Beach","USA","Los Angeles","06037","N","0008390804","33.7884863640001","-118.145240612","622110","General Medical And Surgical Hospitals","California","2702","Non-Profit","208","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.memorialcare.org/community-hospital-long-beach","90804",
"San Diego, California, US",,"4002 Vista Way",,"397","Oceanside","USA","San Diego","06073","Y","0050092056","33.1856203950001","-117.290267305","622110","General Medical And Surgical Hospitals","California","2684","Non-Profit","397","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.tri-cityrmc.org","92056",
"Los Angeles, California, US",,"2801 Atlantic Avenue",,"371","Long Beach","USA","Los Angeles","06037","Y","0011090806","33.80817455","-118.185457576","622110","Children's Hospitals, General","California","2703","Non-Profit","371","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"CHILDREN","2014-03-12T00:00:00.000Z","IMAGERY/OTHER","http://www.memorialcare.org","90806",
"Los Angeles, California, US",,"6041 Cadillac Avenue",,"288","Los Angeles","USA","Los Angeles","06037","N","0021090034","34.0384966780001","-118.374696375","622110","General Medical And Surgical Hospitals","California","2705","Non-Profit","288","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://www.kaiserpermanente.org","90034",
"Los Angeles, California, US",,"9333 Imperial Highway",,"352","Downey","USA","Los Angeles","06037","N","0021690242","33.9195067900001","-118.128997851","622110","General Medical And Surgical Hospitals","California","2706","Non-Profit","352","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://www.kaiserpermanente.org","90242",
"Los Angeles, California, US",,"1500 San Pablo Street",,"401","Los Angeles","USA","Los Angeles","06037","Y","0022490033","34.062029841","-118.2013106","622110","General Medical And Surgical Hospitals","California","2707","Non-Profit","401","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.keckhospitalofusc.org","90033",
"Los Angeles, California, US",,"4211 South Avalon Boulevard",,"72","Los Angeles","USA","Los Angeles","06037","N","0022590011","34.0072994830001","-118.26621008","622210","Psychiatric And Substance Abuse Hospitals","California","2708","Non-Profit","72","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"PSYCHIATRIC","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.kedrenmentalhealth.com","90011",
"Los Angeles, California, US",,"300 West Huntington Drive",,"400","Arcadia","USA","Los Angeles","06037","N","0029691007","34.1344874600001","-118.041711746","622110","General Medical And Surgical Hospitals","California","2709","Non-Profit","400","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://www.methodisthospital.org","91007",
"Los Angeles, California, US",,"14850 Roscoe Boulevard",,"145","Panorama City","USA","Los Angeles","06037","N","0030291402","34.2204145640001","-118.45666936","622110","General Medical And Surgical Hospitals","California","2710","Non-Profit","145","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.mchonline.org","91402",
"Los Angeles, California, US",,"1300 West Seventh Street",,"231","San Pedro","USA","Los Angeles","06037","Y","0036190732","33.7384230700001","-118.305004358","622110","General Medical And Surgical Hospitals","California","2711","Non-Profit","231","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://california.providence.org/","90732",
"Los Angeles, California, US",,"4101 Torrance Boulevard",,"327","Torrance","USA","Los Angeles","06037","N","0036290503","33.838492902","-118.357297244","622110","General Medical And Surgical Hospitals","California","2712","Non-Profit","327","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://california.providence.org/","90503",
"Los Angeles, California, US",,"501 So. Buena Vista",,"446","Burbank","USA","Los Angeles","06037","Y","0036591505","34.1570435290001","-118.328869108","622110","General Medical And Surgical Hospitals","California","2713","Non-Profit","446","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://www.providence.org","91505",
"Los Angeles, California, US",,"2121 Santa Monica Blvd",,"266","Santa Monica","USA","Los Angeles","06037","N","0045490404","34.0308259510001","-118.47945038","622110","General Medical And Surgical Hospitals","California","2714","Non-Profit","266","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://california.providence.org/","90404",
"Los Angeles, California, US",,"2131 West 3Rd Street",,"366","Los Angeles","USA","Los Angeles","06037","Y","0046790057","34.0638715590001","-118.27361447","622110","General Medical And Surgical Hospitals","California","2715","Non-Profit","366","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://www.stvincentmedicalcenter.com","90057",
"Riverside, California, US",,"27300 Iris Avenue",,"101","Moreno Valley","USA","Riverside","06065","N","0021492555","33.8970320700001","-117.186003224","622110","General Medical And Surgical Hospitals","California","2716","Non-Profit","101","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://www.kaiserpermanente.org","92555",
"Riverside, California, US",,"28062 Baxter Road",,"106","Murrieta","USA","Riverside","06065","Y","0026092563","33.614776944","-117.169070306","622110","General Medical And Surgical Hospitals","California","2717","Non-Profit","106","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-03-12T00:00:00.000Z","IMAGERY","http://www.llu.edu","92563",
"Santa Clara, California, US",,"815 Pollard Road",,"143","Los Gatos","USA","Santa Clara","06085","N","0011995032","37.2625271480001","-121.96940656","622110","General Medical And Surgical Hospitals","California","2718","Non-Profit","143","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.elcaminohospital.org","95032",
"Los Angeles, California, US",,"1891 Effie Street",,"55","Los Angeles","USA","Los Angeles","06037","N","0014390026","34.085241404","-118.25658079","622210","Psychiatric And Substance Abuse Hospitals","California","2704","Non-Profit","55","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"PSYCHIATRIC","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.gatewayshospital.org","90026",
"San Diego, California, US",,"7850 Vista Hill Avenue",,"158","San Diego","USA","San Diego","06073","N","0042592123","32.7956275820001","-117.155096325","622210","Psychiatric And Substance Abuse Hospitals","California","2683","Non-Profit","158","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"PSYCHIATRIC","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.sharp.com","92123",
"San Bernardino, California, US",,"18300 Highway 18",,"212","Apple Valley","USA","San Bernardino","06071","Y","0046492307","34.5414883720001","-117.265691515","622110","General Medical And Surgical Hospitals","California","2682","Non-Profit","212","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-03-12T00:00:00.000Z","IMAGERY","http://www.stmaryapplevalley.com/","92307",
"San Bernardino, California, US",,"26780 Barton Road",,"28","Redlands","USA","San Bernardino","06071","N","0025892373","34.0489404050001","-117.220216361","622110","General Medical And Surgical Hospitals","California","2681","Non-Profit","28","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://lomalindahealth.org/heart-and-surgical-hospital/index.page","92373",
"Los Angeles, California, US",,"4081 East Olympic Boulevard",,"130","Los Angeles","USA","Los Angeles","06037","N","0026590023","34.0193463100001","-118.18651367","622110","General Medical And Surgical Hospitals","California","2615","Proprietary","130","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.altacorp.com","90023",
"Los Angeles, California, US",,"2231 South Western Avenue",,"149","Los Angeles","USA","Los Angeles","06037","N","0026890018","34.0351433110001","-118.309357038","622110","General Medical And Surgical Hospitals","California","2616","Proprietary","149","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.lammc.com/","90018",
"San Benito, California, US",,"900 Sunset Drive",,"62","Hollister","USA","San Benito","06069","N","0015795023","36.83551313","-121.386821065","622110","General Medical And Surgical Hospitals","California","2617","Government - District/Authority","62","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-03-12T00:00:00.000Z","IMAGERY/OTHER","http://www.hazelhawkins.com","95023",
"Riverside, California, US",,"371 Weston Place",,"90","Hemet","USA","Riverside","06065","Y","0016292543","33.752441505","-116.960438746","622110","General Medical And Surgical Hospitals","California","2618","Government - District/Authority","90","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.hvrc.com","92543",
"Riverside, California, US",,"47-111 Monroe Street",,"156","Indio","USA","Riverside","06065","Y","0017892201","33.7065682840001","-116.23525807","622110","General Medical And Surgical Hospitals","California","2619","Proprietary","156","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.jfkmemorialhosp.com","92201",
"Riverside, California, US",,"2224 Medical Center Drive",,"40","Perris","USA","Riverside","06065","N","0024192571","33.8124777130001","-117.222339483","622110","General Medical And Surgical Hospitals","California","2620","Proprietary","40","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.khriverside.com","92571",
"Riverside, California, US",,"47-915 Oasis Street","OASIS PSYCHIATRIC HEALTH FACILITY","16","Indio","USA","Riverside","06065","N","0032792201","33.700864616","-116.221625706","622210","Psychiatric And Substance Abuse Hospitals","California","2621","Proprietary","16","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"PSYCHIATRIC","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.telecarecorp.com/programs/164","92201",
"Riverside, California, US",,"250 North First Street",,"51","Blythe","USA","Riverside","06065","N","0034092225","33.6128617690001","-114.595116279","622110","General Medical And Surgical Hospitals","California","2622","Government - District/Authority","51","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.paloverdehospital.org","92225",
"Santa Clara, California, US",,"15891 Los Gatos-Almaden Road",,"70","Los Gatos","USA","Santa Clara","06085","N","0030595032","37.2447147330001","-121.94807381","622110","General Medical And Surgical Hospitals","California","2623","Proprietary","70","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.goodsamsanjose.com","95032",
"Mariposa, California, US",,"5189 Hospital Rd., Po Box 216",,"34","Mariposa","USA","Mariposa","06043","Y","0017795338","37.500123903","-119.977314443","622110","General Medical And Surgical Hospitals","California","2624","Proprietary","34","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.jcf-hospital.com/","95338",
"Fresno, California, US",,"372 West Cypress Avenue",,"44","Reedley","USA","Fresno","06019","Y","0000293654","36.608268331","-119.45214935","622110","General Medical And Surgical Hospitals","California","2625","Government - District/Authority","44","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.adventisthealthcv.com","93654",
"Contra Costa, California, US",,"2000 Vale Road",,"189","San Pablo","USA","Contra Costa","06013","Y","0010594806","37.9532558130001","-122.336534407","622110","General Medical And Surgical Hospitals","California","2626","Government - District/Authority","189","http://www.oshpd.ca.gov/HID/Products/Listings.html","2012-08-13T00:00:00.000Z","06","CA","California",,"CLOSED",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.doctorsmedicalcenter.org","94806",
"Contra Costa, California, US",,"7777 Norris Canyon Road",,"64","San Ramon","USA","Contra Costa","06013","N","0040194583","37.7745918470001","-121.957279019","622110","General Medical And Surgical Hospitals","California","2627","Proprietary","64","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.sanramonmedctr.com","94583",
"Sacramento, California, US",,"4250 Auburn Blvd.",,"125","Sacramento","USA","Sacramento","06067","N","0016595841","38.6433945540001","-121.364680929","622210","Psychiatric And Substance Abuse Hospitals","California","2628","Proprietary","125","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"PSYCHIATRIC","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.heritageoakshospital.com","95841",
"Sacramento, California, US",,"330 Montrose Drive","KINDRED HOSPITAL SACRAMENTO","58","Folsom","USA","Sacramento","06067","N","0023195630","38.681180582","-121.158209097","622110","General Medical And Surgical Hospitals","California","2629","Proprietary","58","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN","(916) 351-9151",,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.vhsacramento.com/","95630",
"Orange, California, US",,"1901 North College Avenue",,"54","Santa Ana","USA","Orange","06059","N","0023592706","33.762149703","-117.89159475","622110","General Medical And Surgical Hospitals","California","2630","Proprietary","54","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.kindredsantaana.com/","92706",
"Orange, California, US",,"3751 Katella Avenue",,"167","Los Alamitos","USA","Orange","06059","N","0026490720","33.804413493","-118.067149759","622110","General Medical And Surgical Hospitals","California","2631","Proprietary","167","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.losalamitosmedctr.com","90720",
"Los Angeles, California, US",,"11301 Wilshire Blvd",,,"Los Angeles","USA","Los Angeles","06037","Y","0003190073","34.0527212710001","-118.452752239","622110","General Medical And Surgical Hospitals","California","2673","Government - Federal",,"https://www.va.gov/directory/guide/allstate.asp","2018-09-26T00:00:00.000Z","06","CA","California",,"OPEN","(310) 478-3711",,,"MILITARY","2015-05-21T00:00:00.000Z","IMAGERY/OTHER","http://www.losangeles.va.gov/","90073",
"Shasta, California, US",,"2801 Eureka Way",,"88","Redding","USA","Shasta","06089","N","0074796001","40.585174205","-122.413549648","622110","General Medical And Surgical Hospitals","California","2655","Proprietary","88","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN","(530) 246-9000",,,"GENERAL ACUTE CARE","2015-01-16T00:00:00.000Z","IMAGERY/OTHER","http://www.vhnorcal.com/","96001",
"Los Angeles, California, US",,"443 South Soto Street",,"36","Los Angeles","USA","Los Angeles","06037","N","0072490033","34.0396037290001","-118.212794235","622310","Specialty (Except Psychiatric And Substance Abuse) Hospitals","California","2654","Proprietary","36","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"LONG TERM CARE","2015-01-14T00:00:00.000Z","IMAGERY/OTHER","http://www.promiseeastla.com/","90033",
"San Diego, California, US",,"2185 W. Citracado Parkway",,"288","Escondido","USA","San Diego","06073","Y","0072292025","33.12221694","-117.121370857","622110","General Medical And Surgical Hospitals","California","2652",,"288","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,"LEVEL II",,"GENERAL ACUTE CARE","2015-01-14T00:00:00.000Z","IMAGERY/OTHER","http://www.palomarhealth.org/","92025",
"San Luis Obispo, California, US",,"345 South Halcyon Road","ARROYO GRANDE COMMUNITY HOSPITAL","67","Arroyo Grande","USA","San Luis Obispo","06079","N","0071993420","35.11310809","-120.590936196","622110","General Medical And Surgical Hospitals","California","2651",,"67","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2015-01-14T00:00:00.000Z","IMAGERY/OTHER","https://www.dignityhealth.org/central-coast/locations/arroyo-grande","93420",
"Solano, California, US",,"2201 Tuolumne St",,"16","Vallejo","USA","Solano","06095","N","0071394589","38.1306131040001","-122.240998778","622210","Psychiatric And Substance Abuse Hospitals","California","2650","Proprietary","16","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"PSYCHIATRIC","2015-01-13T00:00:00.000Z","IMAGERY/OTHER","http://www.crestwoodbehavioralhealth.com","94589",
"Santa Clara, California, US",,"2105 Forest Avenue",,"358","San Jose","USA","Santa Clara","06085","N","0032495128","37.327924739","-121.938392012","622110","General Medical And Surgical Hospitals","California","2720","Non-Profit","358","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN","(408) 947-2500",,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://www.oconnorhospital.org","95128",
"Los Angeles, California, US",,"1725 Pacific Avenue","PACIFIC HOSPITAL SOUTH CAMPUS D/P APH","36","Long Beach","USA","Los Angeles","06037","N","0071090813","33.7882842860001","-118.194139118","622110","General Medical And Surgical Hospitals","California","2649","Proprietary","36","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2015-01-13T00:00:00.000Z","IMAGERY/OTHER","http://www.collegemedicalcenter.com","90813",
"Butte, California, US",,"560 Cohasset Road",,"30","Chico","USA","Butte","06007","N","0012495926","39.752496894","-121.847996375","622110","General Medical And Surgical Hospitals","California","2639","Non-Profit","30","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.enloe.org/","95926",
"Tulare, California, US",,"1633 South Court Street",,"54","Visalia","USA","Tulare","06107","N","0022393277","36.315776182","-119.29248312","622110","General Medical And Surgical Hospitals","California","2636","Government - District/Authority","54","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.kaweahdelta.org","93277",
"Sutter, California, US",,"1965 Live Oak Boulevard",,"16","Yuba City","USA","Sutter","06101","N","0048895991","39.155595609","-121.618435699","622210","Psychiatric And Substance Abuse Hospitals","California","2635","Government - Local","16","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN","(530) 822-7200",,,"PSYCHIATRIC","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","https://www.co.sutter.ca.us/doc/government/depts/hs/mh/hs_mental_health","95991",
"Sutter, California, US",,"455 Plumas Boulevard",,"14","Yuba City","USA","Sutter","06101","N","0048695993","39.1314502120001","-121.613454058","622110","General Medical And Surgical Hospitals","California","2634","Proprietary","14","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.sshnv.org","95993",
"Stanislaus, California, US",,"275 South Oak Street","OAK VALLEY","115","Oakdale","USA","Stanislaus","06099","N","0032595361","37.75916748","-120.860298868","622310","Rehabilitation Hospitals (Except Alcoholism, Drug Addiction)","California","2633","Proprietary","115","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"REHABILITATION","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.oriolhealthcare.com/oakdale-rehabilitation-and-skilled-nursing-center/","95361",
"Orange, California, US",,"14662 Newport Avenue","NEWPORT SPECIALTY HOSPITAL","177","Tustin","USA","Orange","06059","N","0031592680","33.7302566560001","-117.828571611","622110","General Medical And Surgical Hospitals","California","2632","Proprietary","177","http://www.oshpd.ca.gov/HID/Facility-Listing.html","2018-08-08T00:00:00.000Z","06","CA","California",,"OPEN",,,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://newportspecialtyhospital.com/","92680",
